gene_id	F1_FPKM	F2_FPKM	F3_FPKM	M1_FPKM	M2_FPKM	M3_FPKM	female_fpkm_mean	male_fpkm_mean	log2FoldChange	pvalue	padj	female_sq	male_sq	SPM	diff_exp	category
Dcitr00g01040.1	7.35	4.94	4.7	7.23	6.58	6.3	7.35	7.23	0.2544506	0.5379011	0.7794511	54.0225	52.2729	0.508229895178907	no	unbiased
Dcitr00g01050.1	2.65	0.97	4.46	5.14	3.53	0.7	2.65	5.14	0.2328026	0.7401764	0.8931678	7.0225	26.4196	0.209989803271924	no	unbiased
Dcitr00g01080.1	6.28	3.58	3.99	4.26	3.78	4.76	6.28	4.26	-0.08269573	0.8080441	0.9231921	39.4384	18.1476	0.68486090369187	no	unbiased
Dcitr00g01100.1	6.37	7.54	6	3.47	4.38	5.96	6.37	3.47	-0.516961652932326	0.18595719265672	0.43426180865245	40.5769	12.0409	0.771162990470905	no	unbiased
Dcitr00g01130.1	2.24	2.94	0.9	1.8	3.95	2.41	2.24	1.8	0.408246	0.5406587	0.7807907	5.0176	3.24	0.607634179422593	no	unbiased
Dcitr00g01140.1	0.48	1.75	1.68	0.56	2.82	0.83	0.48	0.56	0.07994052	0.9111852	0.9650724	0.2304	0.3136	0.423529411764706	no	unbiased
Dcitr00g01160.1	3.14	0.71	2.45	5.47	1.38	3.41	3.14	5.47	0.7231112	0.3089956	0.5852197	9.8596	29.9209	0.247850077299179	no	unbiased
Dcitr00g01180.1	5.12	9.05	6.37	1.85	7.21	4.24	5.12	1.85	-0.617833166341879	0.167519083500635	0.406149510710369	26.2144	3.4225	0.884518961159905	no	unbiased
Dcitr00g01190.1	239.4	178.18	178.76	178.84	150.86	142.8	239.4	178.84	-0.325541453737007	0.041675125357703	0.156974197515767	57312.36	31983.7456	0.641823734807982	no	unbiased
Dcitr00g01200.1	8.49	4.25	4.72	4.9	2.85	3.87	8.49	4.9	-0.588531239829019	0.238809906977457	0.504059482227419	72.0801	24.01	0.750130346414459	no	unbiased
Dcitr00g01310.1	13.14	13.14	16.56	11.18	16.9	12.3	13.14	11.18	-0.07106797	0.819659	0.9284935	172.6596	124.9924	0.580072030424791	no	unbiased
Dcitr00g01320.1	9.27	7.81	8.16	5.07	2.43	6.75	9.27	5.07	-0.830066268515992	0.0920104087852252	0.274433492865543	85.9329	25.7049	0.76974734364167	no	unbiased
Dcitr00g01330.1	46.23	43	44.77	39.26	41.23	32.8	46.23	39.26	-0.2400523	0.1609078	0.3944356	2137.2129	1541.3476	0.580991640615942	no	unbiased
Dcitr00g01340.1	18.15	9.61	11.05	8.14	14.26	13.36	18.15	8.14	-0.09116422	0.7738443	0.9077566	329.4225	66.2596	0.832543347298248	no	unbiased
Dcitr00g01350.1	8.57	9.17	9.14	5	9.19	9.99	8.57	5	-0.1332057	0.761118	0.9013721	73.4449	25	0.746050836559334	no	unbiased
Dcitr00g01370.1	5.79	8.24	5.71	6.43	1.79	6.43	5.79	6.43	-0.435735320903741	0.35860285915241	0.636353373219371	33.5241	41.3449	0.447770105116938	no	unbiased
