gene_id	chr	male	male_category	female	female_category
Dcitr00g01000.1	DC3.0sc00	0.00727239971521752	Low	0.0061726879458059	Low
Dcitr00g01010.1	DC3.0sc00	0.00493626680603582	Low	0.00452645415191713	Low
Dcitr00g01020.1	DC3.0sc00	0.00235807660460227	Low	0.00303412994560731	Low
Dcitr00g01030.1	DC3.0sc00	0.0165985770167025	Low	0.0105135423247458	Low
Dcitr00g01040.1	DC3.0sc00	0.00645276400039052	Low	0.00585959606745211	Low
Dcitr00g01050.1	DC3.0sc00	0.00606753577786038	Low	0.00624823910265616	Low
Dcitr00g01060.1	DC3.0sc00	0.00738221450018646	Low	0.00923293337917643	Low
Dcitr00g01080.1	DC3.0sc00	0.0049886733950147	Low	0.010974905812937	Low
Dcitr00g01100.1	DC3.0sc00	0.00640047265870726	Low	0.00744725676060396	Low
Dcitr00g01110.1	DC3.0sc00	0	None	0	None
Dcitr00g01120.1	DC3.0sc00	0.00208333333333333	Low	0.00937414427462715	Low
Dcitr00g01130.1	DC3.0sc00	0.00870832497542155	Low	0.00765221472235303	Low
Dcitr00g01140.1	DC3.0sc00	0.00293820369978609	Low	0.00586756254225829	Low
Dcitr00g01150.1	DC3.0sc00	0.00294117647058822	Low	0.00483091787439613	Low
Dcitr00g01160.1	DC3.0sc00	0.0134670099599875	Low	0.020517897379098	Low
Dcitr00g01170.1	DC3.0sc00	0.00784767905060885	Low	0.00299195192951322	Low
Dcitr00g01180.1	DC3.0sc00	0.0208514055993494	Low	0.0278716101612375	Low
Dcitr00g01190.1	DC3.0sc00	0.323092801634622	Medium	0.489724935127685	Medium
Dcitr00g01200.1	DC3.0sc00	0.532397150904016	Medium	0.549580423032445	Medium
Dcitr00g01230.1	DC3.0sc00	0	None	0.0381464798131464	Low
Dcitr00g01250.1	DC3.0sc00	0.00438807406387151	Low	0.00578631196095277	Low
Dcitr00g01260.1	DC3.0sc00	0.00123456790123457	Low	0.00183150183150183	Low
Dcitr00g01270.1	DC3.0sc00	0.013996078232845	Low	0.0149962407275055	Low
Dcitr00g01280.1	DC3.0sc00	0.00726869392990331	Low	0.00630216702902655	Low
Dcitr00g01310.1	DC3.0sc00	0.139744822117472	Low	0.136009264690007	Low
Dcitr00g01320.1	DC3.0sc00	0.181457515928149	Low	0.281250294685265	Low
Dcitr00g01330.1	DC3.0sc00	0.0201342406376803	Low	0.0241530640548425	Low
Dcitr00g01340.1	DC3.0sc00	0.0229822607217846	Low	0.012625265319097	Low
Dcitr00g01350.1	DC3.0sc00	0.158317224870938	Low	0.14061944795818	Low
Dcitr00g01360.1	DC3.0sc00	0.00928814896118668	Low	0.00682506201472828	Low
Dcitr00g01370.1	DC3.0sc00	0.0334171619590106	Low	0.0234450712441585	Low
Dcitr00g01380.1	DC3.0sc00	0.49625772327159	Medium	0.488005561561962	Medium
Dcitr00g01390.1	DC3.0sc00	0.006078691423519	Low	0.00234741784037558	Low
Dcitr00g01410.1	DC3.0sc00	0.0778258928447317	Low	0.0803456629306308	Low
Dcitr00g01420.1	DC3.0sc00	0.0359236848246926	Low	0.0291825355631237	Low
Dcitr00g01430.1	DC3.0sc00	0.0570914152548996	Low	0.0612103569075097	Low
Dcitr00g01440.1	DC3.0sc00	0.009862911556625	Low	0.00674518107052922	Low
Dcitr00g01450.1	DC3.0sc00	0.00629979861658348	Low	0.00733932461873638	Low
Dcitr00g01460.1	DC3.0sc00	0.00721500721500722	Low	0.00225225225225225	Low
Dcitr00g01480.1	DC3.0sc00	0.00671089376144092	Low	0.00822095799971907	Low
Dcitr00g01490.1	DC3.0sc00	0.00752466473803258	Low	0.00796969053979039	Low
Dcitr00g01500.1	DC3.0sc00	0.00707132620529323	Low	0.00465866138558328	Low
Dcitr00g01510.1	DC3.0sc00	0.00466898179342407	Low	0.00442178721359999	Low
Dcitr00g01520.1	DC3.0sc00	0.00565962019282391	Low	0.00601674359951584	Low
Dcitr00g01530.1	DC3.0sc00	0.0907930056155074	Low	0.142001618989964	Low
Dcitr00g01540.1	DC3.0sc00	0.0108434616784567	Low	0.0182565087494665	Low
Dcitr00g01550.1	DC3.0sc00	0.145719602977668	Low	0.123162164636439	Low
Dcitr00g01560.1	DC3.0sc00	0.00516113138459523	Low	0.00530351430859668	Low
Dcitr00g01570.1	DC3.0sc00	0.00893249585343029	Low	0.00925323331677829	Low
