gene_id	sex	diff_exp	category	logFC	FPKM	chr	hypermethylated	weighted_meth	meth_level	logFPKM
Dcitr00g01040.1	female	no	unbiased	0.2544506	7.35	DC3.0sc00	none	0.00585959606745211	Low	1.99470031322475
Dcitr00g01040.1	male	no	unbiased	0.2544506	7.23	DC3.0sc00	none	0.00645276400039052	Low	1.97823903617067
Dcitr00g01050.1	female	no	unbiased	0.2328026	2.65	DC3.0sc00	none	0.00624823910265616	Low	0.974559639998131
Dcitr00g01050.1	male	no	unbiased	0.2328026	5.14	DC3.0sc00	none	0.00606753577786038	Low	1.63705307946707
Dcitr00g01080.1	female	no	unbiased	-0.08269573	6.28	DC3.0sc00	none	0.010974905812937	Low	1.83736998048011
Dcitr00g01080.1	male	no	unbiased	-0.08269573	4.26	DC3.0sc00	none	0.0049886733950147	Low	1.44926916028128
Dcitr00g01100.1	female	no	unbiased	-0.516961652932326	6.37	DC3.0sc00	none	0.00744725676060396	Low	1.85159946958407
Dcitr00g01100.1	male	no	unbiased	-0.516961652932326	3.47	DC3.0sc00	none	0.00640047265870726	Low	1.24415459395877
Dcitr00g01130.1	female	no	unbiased	0.408246	2.24	DC3.0sc00	none	0.00765221472235303	Low	0.806475865866949
Dcitr00g01130.1	male	no	unbiased	0.408246	1.8	DC3.0sc00	none	0.00870832497542155	Low	0.587786664902119
Dcitr00g01140.1	female	no	unbiased	0.07994052	0.48	DC3.0sc00	none	0.00586756254225829	Low	-0.7339691750802
Dcitr00g01140.1	male	no	unbiased	0.07994052	0.56	DC3.0sc00	none	0.00293820369978609	Low	-0.579818495252942
Dcitr00g01160.1	female	no	unbiased	0.7231112	3.14	DC3.0sc00	none	0.020517897379098	Low	1.14422279992016
Dcitr00g01160.1	male	no	unbiased	0.7231112	5.47	DC3.0sc00	none	0.0134670099599875	Low	1.69927861643389
Dcitr00g01180.1	female	no	unbiased	-0.617833166341879	5.12	DC3.0sc00	none	0.0278716101612375	Low	1.63315443905142
Dcitr00g01180.1	male	no	unbiased	-0.617833166341879	1.85	DC3.0sc00	none	0.0208514055993494	Low	0.615185639090233
Dcitr00g01190.1	female	no	unbiased	-0.325541453737007	239.4	DC3.0sc00	none	0.489724935127685	Medium	5.47813579312387
Dcitr00g01190.1	male	no	unbiased	-0.325541453737007	178.84	DC3.0sc00	none	0.323092801634622	Medium	5.18649155136578
Dcitr00g01200.1	female	no	unbiased	-0.588531239829019	8.49	DC3.0sc00	none	0.549580423032445	Medium	2.13888900032326
Dcitr00g01200.1	male	no	unbiased	-0.588531239829019	4.9	DC3.0sc00	none	0.532397150904016	Medium	1.58923520511658
Dcitr00g01310.1	female	no	unbiased	-0.07106797	13.14	DC3.0sc00	none	0.136009264690007	Low	2.57566101305646
Dcitr00g01310.1	male	no	unbiased	-0.07106797	11.18	DC3.0sc00	none	0.139744822117472	Low	2.41412646772695
Dcitr00g01320.1	female	no	unbiased	-0.830066268515992	9.27	DC3.0sc00	none	0.281250294685265	Low	2.22678337957776
Dcitr00g01320.1	male	no	unbiased	-0.830066268515992	5.07	DC3.0sc00	none	0.181457515928149	Low	1.62334081760309
Dcitr00g01330.1	female	no	unbiased	-0.2400523	46.23	DC3.0sc00	none	0.0241530640548425	Low	3.83362893800013
Dcitr00g01330.1	male	no	unbiased	-0.2400523	39.26	DC3.0sc00	none	0.0201342406376803	Low	3.67020618884832
Dcitr00g01340.1	female	no	unbiased	-0.09116422	18.15	DC3.0sc00	none	0.012625265319097	Low	2.89867056071086
Dcitr00g01340.1	male	no	unbiased	-0.09116422	8.14	DC3.0sc00	none	0.0229822607217846	Low	2.09679018001445
Dcitr00g01350.1	female	no	unbiased	-0.1332057	8.57	DC3.0sc00	none	0.14061944795818	Low	2.14826773260969
Dcitr00g01350.1	male	no	unbiased	-0.1332057	5	DC3.0sc00	none	0.158317224870938	Low	1.6094379124341
Dcitr00g01370.1	female	no	unbiased	-0.435735320903741	5.79	DC3.0sc00	none	0.0234450712441585	Low	1.7561322915849
Dcitr00g01370.1	male	no	unbiased	-0.435735320903741	6.43	DC3.0sc00	none	0.0334171619590106	Low	1.86097453824953
Dcitr00g01380.1	female	no	unbiased	-0.1742197	1373.9	DC3.0sc00	none	0.488005561561962	Medium	7.2254086899299
Dcitr00g01380.1	male	no	unbiased	-0.1742197	1248.74	DC3.0sc00	none	0.49625772327159	Medium	7.12989032192269
Dcitr00g01410.1	female	no	unbiased	-1.21259459300555	6.61	DC3.0sc00	none	0.0803456629306308	Low	1.88858365386359
Dcitr00g01410.1	male	no	unbiased	-1.21259459300555	0.9	DC3.0sc00	none	0.0778258928447317	Low	-0.105360515657826
Dcitr00g01420.1	female	no	unbiased	-0.02150849	7.24	DC3.0sc00	none	0.0291825355631237	Low	1.97962120639763
Dcitr00g01420.1	male	no	unbiased	-0.02150849	7.95	DC3.0sc00	none	0.0359236848246926	Low	2.07317192866624
Dcitr00g01430.1	female	no	unbiased	0.7783542	5.44	DC3.0sc00	none	0.0612103569075097	Low	1.69377906086785
Dcitr00g01430.1	male	no	unbiased	0.7783542	22.51	DC3.0sc00	none	0.0570914152548996	Low	3.11395965491864
Dcitr00g01440.1	female	yes	male_biased	1.67121	6.66	DC3.0sc00	none	0.00674518107052922	Low	1.8961194845523
Dcitr00g01440.1	male	yes	male_biased	1.67121	38.55	DC3.0sc00	none	0.009862911556625	Low	3.65195610000934
Dcitr00g01450.1	female	no	unbiased	-0.1772823	30.26	DC3.0sc00	none	0.00733932461873638	Low	3.40982670836021
Dcitr00g01450.1	male	no	unbiased	-0.1772823	20.19	DC3.0sc00	none	0.00629979861658348	Low	3.00518743232475
Dcitr00g01460.1	female	no	unbiased	-0.09969907	9.52	DC3.0sc00	none	0.00225225225225225	Low	2.25339484880327
Dcitr00g01460.1	male	no	unbiased	-0.09969907	6.2	DC3.0sc00	none	0.00721500721500722	Low	1.82454929205105
Dcitr00g01490.1	female	no	unbiased	0.7195621	11.35	DC3.0sc00	none	0.00796969053979039	Low	2.42921774392741
Dcitr00g01490.1	male	no	unbiased	0.7195621	26.11	DC3.0sc00	none	0.00752466473803258	Low	3.26231838271104
Dcitr00g01550.1	female	no	unbiased	0.03692609	15.53	DC3.0sc00	none	0.123162164636439	Low	2.7427736371606
Dcitr00g01550.1	male	no	unbiased	0.03692609	19.26	DC3.0sc00	none	0.145719602977668	Low	2.95803040636998
Dcitr00g01560.1	female	no	unbiased	-0.422450076236962	14.93	DC3.0sc00	none	0.00530351430859668	Low	2.7033726115511
Dcitr00g01560.1	male	no	unbiased	-0.422450076236962	6.41	DC3.0sc00	none	0.00516113138459523	Low	1.85785927093258
Dcitr00g01570.1	female	no	unbiased	-0.501186875909152	56.68	DC3.0sc00	none	0.00925323331677829	Low	4.03742141482248
Dcitr00g01570.1	male	no	unbiased	-0.501186875909152	36.58	DC3.0sc00	none	0.00893249585343029	Low	3.59950164296272
Dcitr00g01590.1	female	no	unbiased	-0.399861190957207	189.57	DC3.0sc00	none	0.00475685692746269	Low	5.24475834945347
Dcitr00g01590.1	male	no	unbiased	-0.399861190957207	144.46	DC3.0sc00	none	0.00452382568500407	Low	4.9730026526227
Dcitr00g01610.1	female	no	unbiased	0.1165267	35.85	DC3.0sc00	none	0.540267362105758	Medium	3.57934356704563
Dcitr00g01610.1	male	no	unbiased	0.1165267	48.11	DC3.0sc00	none	0.561127285020106	Medium	3.87349005571136
Dcitr00g01620.1	female	no	unbiased	0.08741685	4.6	DC3.0sc00	none	0.0277908803011939	Low	1.52605630349505
Dcitr00g01620.1	male	no	unbiased	0.08741685	4.72	DC3.0sc00	none	0.0295478957050636	Low	1.55180879959746
Dcitr00g01630.1	female	no	unbiased	-0.2366709	23.39	DC3.0sc00	none	0.0409587025978515	Low	3.15230858059609
Dcitr00g01630.1	male	no	unbiased	-0.2366709	17.57	DC3.0sc00	none	0.0345458847776741	Low	2.86619290219901
Dcitr00g01640.1	female	no	unbiased	-0.364735513707068	17.25	DC3.0sc00	none	0.0294702759658462	Low	2.84781214347737
Dcitr00g01640.1	male	no	unbiased	-0.364735513707068	12.19	DC3.0sc00	none	0.027602425728028	Low	2.50061594349318
Dcitr00g01670.1	female	no	unbiased	-0.301957818958591	13.15	DC3.0sc00	none	0.00738282418537711	Low	2.57642175862377
Dcitr00g01670.1	male	no	unbiased	-0.301957818958591	11.36	DC3.0sc00	none	0.00526036156898458	Low	2.43009841329301
Dcitr00g01680.1	female	no	unbiased	0.8401431	5.72	DC3.0sc00	none	0.137319480406264	Low	1.74396880539171
Dcitr00g01680.1	male	no	unbiased	0.8401431	9.72	DC3.0sc00	none	0.163480980780019	Low	2.27418561847235
Dcitr00g01690.1	female	no	unbiased	-0.494994812727451	28.58	DC3.0sc00	none	0.0534286160657394	Low	3.35270717250172
Dcitr00g01690.1	male	no	unbiased	-0.494994812727451	24.78	DC3.0sc00	none	0.0614175741866905	Low	3.210036876201
Dcitr00g01710.1	female	no	unbiased	-0.676252295982998	9.35	DC3.0sc00	none	0.0103665031560605	Low	2.2353763433006
Dcitr00g01710.1	male	no	unbiased	-0.676252295982998	7.07	DC3.0sc00	none	0.00536342925432678	Low	1.95586047990848
Dcitr00g01720.1	female	no	unbiased	-0.665493417938606	9.81	DC3.0sc00	none	0.00781472009093492	Low	2.28340227357727
Dcitr00g01720.1	male	no	unbiased	-0.665493417938606	8.28	DC3.0sc00	none	0.00742043325796517	Low	2.11384296839717
Dcitr00g01730.1	female	no	unbiased	-0.1968397	11.6	DC3.0sc00	none	0.00973997595205089	Low	2.45100509811232
Dcitr00g01730.1	male	no	unbiased	-0.1968397	7.23	DC3.0sc00	none	0.00489160115425684	Low	1.97823903617067
Dcitr00g01740.1	female	no	unbiased	-0.2571462	157.68	DC3.0sc00	none	0.0090909090909091	Low	5.06056766284446
Dcitr00g01740.1	male	no	unbiased	-0.2571462	118.18	DC3.0sc00	none	0.0172476397966594	Low	4.77220888591753
Dcitr00g01750.1	female	no	unbiased	-0.392145200579282	13.15	DC3.0sc00	none	0.00234741784037558	Low	2.57642175862377
Dcitr00g01750.1	male	no	unbiased	-0.392145200579282	14.16	DC3.0sc00	none	0.0149328023892484	Low	2.65042108826557
Dcitr00g01760.1	female	yes	male_biased	4.518937	0.24	DC3.0sc00	none	0.00435148371246735	Low	-1.42711635564015
Dcitr00g01760.1	male	yes	male_biased	4.518937	3.27	DC3.0sc00	none	0.00427063612608371	Low	1.18478998490916
Dcitr00g01790.1	female	no	unbiased	0.01416738	4.56	DC3.0sc00	none	0.00587557251549932	Low	1.51732262352629
Dcitr00g01790.1	male	no	unbiased	0.01416738	3.44	DC3.0sc00	none	0.00583074743835934	Low	1.23547147138531
