chr	cpg	count_c	total_coverage
1	9182406	0	6
6	4594773	0	3
21	77439	0	1
2	10060943	0	4
7	12518195	0	10
2	5878312	0	2
1	15302824	0	22
2	7487761	0	2
4	229801	0	6
2	870389	0	15
7	5141440	0	12
3	4614234	0	9
3	11448641	0	20
4	2783860	0	20
181	49718	0	5
3	4953939	0	9
7	5484040	0	32
4	10896026	1	16
2	2629122	0	9
1	6846982	0	17
4	2466594	0	7
8	5790717	0	23
1	15638036	0	4
4	9057659	0	13
149	58022	0	7
1	2169213	0	2
6	2884231	0	4
3	9778342	0	9
5	10380880	0	6
1	1430789	0	1
2	8538961	0	10
95	77185	1	6
7	9585082	0	3
10	7649084	0	11
3	6597359	0	7
3	8726030	0	13
5	9477911	0	1
6	4544910	0	1
3	3144914	0	11
1	12629743	0	11
5	7630592	0	10
1	9859198	0	1
1	1399114	0	6
25	100253	0	6
8	2890770	1	6
10	4270430	0	5
3	721523	0	4
2	13072983	0	10
7	5595621	0	11
34	139348	0	1
9	9892120	0	2
10	6800824	0	1
5	11749825	0	1
1	16224690	0	4
3	4049086	2	24
6	4701681	0	13
5	149151	0	6
1	2466954	0	18
2	858697	0	6
6	2128818	0	1
2	1729936	0	18
10	8069666	0	3
4	9174868	0	1
2	8750713	0	8
7	13189946	0	10
1	15568667	0	11
7	1994358	0	8
1	14687559	0	3
8	4739670	0	1
1	6882218	0	4
1	1297070	0	12
1	17208007	0	17
3	8867064	0	15
5	11533139	0	13
6	8532417	0	17
6	6549377	0	13
2	4702697	0	6
4	12343858	0	31
4	3392348	0	22
7	8350820	0	5
1	10374567	0	4
8	4292542	0	5
8	4235681	0	1
1	15693851	0	6
1	17165789	0	3
7	10488395	0	12
6	7093371	0	3
10	2669851	0	3
1	14390471	0	15
12	280825	0	21
5	535341	0	14
2	869628	0	3
7	780579	0	3
8	2876048	0	16
1	1976245	0	21
1	4672319	0	8
3	6877189	0	4
5	10862947	0	18
2	9679816	0	1
4	7181658	0	3
4	8282016	0	3
3	12874138	0	1
1	16557722	0	9
2	1995323	0	9
5	7384171	0	10
10	4110163	0	21
3	10226493	0	3
6	211840	0	20
10	2716740	0	14
8	10411292	0	3
2	13733321	0	13
1	18306259	0	1
8	9900002	0	9
1	16155355	0	3
9	6040658	0	11
2	17033059	0	18
7	8006680	0	17
1	9940089	0	7
7	12082534	0	12
3	5973700	0	32
4	852027	0	14
207	13813	0	3
9	2193693	0	2
1	9307778	0	9
2	12327412	0	15
9	5919850	0	9
38	89221	0	7
1	2418656	0	6
1	9564755	0	1
3	6613037	0	7
223	29003	0	4
4	6217827	1	6
3	2353732	0	11
1	16839784	0	3
1	10368300	0	17
3	9494943	0	5
24	78968	0	2
4	884314	0	5
3	9670243	0	13
5	4917144	0	15
