chr	feature	gene_id	start	end	cpg_count	female	male	percent_meth_difference_of_feature	hypermethylated
DC3.0sc01	exon	Dcitr01g11950.1	26149427	26149592	1	0.547761278944074	0.699706373777581	0.151945094833507	male
DC3.0sc01	exon	Dcitr01g19390.1	42049043	42049201	5	0.328079837466837	0.157966924600035	-0.170112912866802	female
DC3.0sc02	exon	Dcitr02g04160.1	10197307	10197421	6	0.784177914282295	0.597120417606255	-0.18705749667604	female
DC3.0sc02	exon	Dcitr02g04820.1	11571137	11572263	4	0.4323124128452	0.235389338958032	-0.196923073887168	female
DC3.0sc02	exon	Dcitr02g14560.1	34630155	34630601	4	0.561513578631079	0.357422925442041	-0.204090653189038	female
DC3.0sc02	exon	Dcitr02g14560.1	34640465	34640599	3	0.525963034591075	0.353004634892533	-0.172958399698542	female
DC3.0sc02	exon	Dcitr02g17350.1	41118987	41119205	7	0.571884441352948	0.322516921812066	-0.249367519540882	female
DC3.0sc04	exon	Dcitr04g08310.1	16951625	16951897	3	0.545542400495961	0.253348169407577	-0.292194231088384	female
DC3.0sc05	exon	Dcitr05g02920.1	5940340	5940502	6	0.107458777829421	0.32995406375568	0.222495285926259	male
DC3.0sc05	exon	Dcitr05g02920.1	5943291	5943476	4	0.676470588235294	0.512820512820513	-0.163650075414781	female
DC3.0sc05	exon	Dcitr05g07530.1	16831301	16833697	6	0.806296320436533	0.549094497039942	-0.257201823396591	female
DC3.0sc07	exon	Dcitr07g06250.1	13277295	13277561	6	0.27514919271695	0.10485234949039	-0.17029684322656	female
DC3.0sc12	exon	Dcitr12g01480.1	1401442	1401659	9	0.445578153312667	0.599392180825203	0.153814027512536	male
DC3.0sc13	exon	Dcitr13g01780.1	2224776	2224995	7	0.61988925332716	0.427792440341384	-0.192096812985776	female
